Activity,Lookup identifiers,Unit,CO2e,Scope,Category
Electricity,Cyprus,kWh,0.621,2,
Electricity,Czechia,kWh,0.437,2,
Electricity,Denmark,kWh,0.109,2,
Electricity,Estonia,kWh,0.775,2,
Electricity,EU-27,kWh,0.231,2,
Electricity,Finland,kWh,0.069,2,
Electricity,France,kWh,0.051,2,
Electricity,Germany,kWh,0.311,2,
Electricity,Greece,kWh,0.479,2,
Electricity,Hungary,kWh,0.216,2,
Electricity,Ireland,kWh,0.279,2,
Electricity,Italy,kWh,0.213,2,
Electricity,Latvia,kWh,0.107,2,
Electricity,Lithuania,kWh,0.045,2,
Electricity,Luxembourg,kWh,0.059,2,
Electricity,Malta,kWh,0.379,2,
Electricity,Netherlands,kWh,0.328,2,
Electricity,Poland,kWh,0.710,2,
Electricity,Portugal,kWh,0.198,2,
Electricity,Romania,kWh,0.300,2,
Electricity,Slovakia,kWh,0.102,2,
Electricity,Slovenia,kWh,0.218,2,
Electricity,Spain,kWh,0.156,2,
Electricity,Sweden,kWh,0.009,2,
Electricity,United Kingdom,kWh,0.193,2,
